Build Number,Version,Build Date,Build Time,
14859,3.0.0,?? ??? ????,??:??:??,
1377681343,3.0.11.1,28 Aug 2013,09:15:43,
1380616389,3.0.13,01 Okt 2013,08:33:09,
1382965645,3.0.13.1,28 Okt 2013,13:07:25,
1383907368,3.0.13.1,08 Nov 2013,10:42:48,
1394721752,3.0.14.1,13 Mar 2014,14:42:32,
1403250090,3.0.15,20 Jun 2014,07:41:30,
1405416961,3.0.15.1,15 Jul 2014,09:36:01,
1417475291,3.0.17,01 Dec 2014,23:08:11,
1415777828,3.0.17,12 Nov 2014,07:37:08,
1427190433,3.0.18,24 Mar 2015,09:47:13,
1427190433,3.0.18.1,24 Mar 2015,09:47:13,
1435141265,3.0.19,24 Jun 2015,10:21:05,
1435141265,3.0.19.2,24 Jun 2015,10:21:05,
1435141265,3.0.19.3,24 Jun 2015,10:21:05,
1444508410,3.0.20,10 Okt 2015,20:20:10,
1444508410,3.0.20.1,10 Okt 2015,20:20:10,
1445517273,3.0.20.2,22 Okt 2015,12:34:33,